Starting Point,Ending Point,Bus Name,Bus Type,Departing Time,Reaching Time,Duration,Star Rating,Price,Seat Availability,Bus Type (Categorized)
Vijayawada,Hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),11:55 PM,06:10 AM,06h 15m,4.3,1690,32,A/C Seater/Sleeper
Vijayawada,Hyderabad,IntrCity SmartBus,A/C Seater / Sleeper (2+1),10:50 PM,06:25 AM,07h 35m,4.7,2128,1,A/C Seater/Sleeper
Vijayawada,Hyderabad,FRESHBUS,Electric A/C Seater (2+2),10:20 PM,05:20 AM,07h 00m,4.6,1599,1,A/C Seater
Vijayawada,Hyderabad,GMRK Tours and Travels,Volvo A/C Semi Sleeper (2+2),11:40 PM,05:55 AM,06h 15m,4.7,1379,1,A/C Semi Sleeper
Vijayawada,Hyderabad,FRESHBUS,Electric A/C Seater (2+2),11:00 PM,05:55 AM,06h 55m,4.5,1519,3,A/C Seater
Vijayawada,Hyderabad,IntrCity SmartBus,AC Sleeper (2+1),11:30 PM,06:30 AM,07h 00m,4.5,1938,1,Unknown A/C Sleeper
Vijayawada,Hyderabad,Zingbus Plus,A/C Seater / Sleeper (2+1),10:20 PM,05:40 AM,07h 20m,4.5,1538,4,A/C Seater/Sleeper
Vijayawada,Hyderabad,NueGo,Electric A/C Seater (2+2),10:30 PM,06:00 AM,07h 30m,4.2,1454,1,A/C Seater
Vijayawada,Hyderabad,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),11:10 PM,05:55 AM,06h 45m,4.3,1909,1,Unknown A/C Sleeper
Vijayawada,Hyderabad,NueGo,Electric A/C Seater/Sleeper (2+1),11:00 PM,06:30 AM,07h 30m,4.2,1094,1,A/C Seater/Sleeper
Vijayawada,Hyderabad,IntrCity SmartBus,VE A/C Seater / Sleeper (2+1),10:55 PM,05:40 AM,06h 45m,4.5,2220,2,A/C Seater/Sleeper
Vijayawada,Hyderabad,IntrCity SmartBus,AC Sleeper (2+1),11:45 PM,06:00 AM,06h 15m,4.3,1938,1,Unknown A/C Sleeper
Vijayawada,Hyderabad,NueGo,Electric A/C Seater (2+2),11:10 PM,06:27 AM,07h 17m,4.0,1398,1,A/C Seater
Vijayawada,Hyderabad,Varun Travels,Scania AC Multi Axle Sleeper (2+1),11:25 PM,05:10 AM,05h 45m,4.2,1550,1,Unknown A/C Sleeper
Vijayawada,Hyderabad,Komali Travels,A/C Seater / Sleeper (2+1),11:59 PM,07:10 AM,07h 11m,4.0,1899,1,A/C Seater/Sleeper
Vijayawada,Hyderabad,Svkdt travels,Scania Multi-Axle AC Seater (2+2),11:35 PM,06:20 AM,06h 45m,4.1,1390,2,Unknown A/C Seater
Vijayawada,Hyderabad,LVP Travels,Non A/C Seater / Sleeper (2+1),11:46 PM,06:00 AM,06h 14m,4.0,2499,2,A/C Seater/Sleeper
Vijayawada,Hyderabad,Sri KVR Travels,A/C Sleeper (2+1),11:50 PM,04:45 AM,04h 55m,3.9,1890,23,A/C Sleeper
Vijayawada,Hyderabad,V Kaveri Travels,A/C Seater / Sleeper (2+1),10:40 PM,05:55 AM,07h 15m,3.5,1890,2,A/C Seater/Sleeper
Vijayawada,Hyderabad,Sai Sri Durga Travels,Non A/C Seater / Sleeper (2+1),11:05 PM,06:30 AM,07h 25m,3.5,1175,2,A/C Seater/Sleeper
Vijayawada,Hyderabad,Orange Tours And Travels,A/C Sleeper (2+1),12:45 AM,07:00 AM,06h 15m,3.3,1800,1,A/C Sleeper
Vijayawada,Hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),12:14 AM,06:50 AM,06h 36m,3.9,1950,1,A/C Seater/Sleeper
Vijayawada,Hyderabad,Anjani Bus,NON A/C Sleeper (2+1),11:05 PM,06:25 AM,07h 20m,3.9,1399,1,A/C Sleeper
Vijayawada,Hyderabad,Siri Tours and Travels,A/C Seater / Sleeper (2+1),12:04 AM,06:17 AM,06h 13m,3.7,1880,1,A/C Seater/Sleeper
Vijayawada,Hyderabad,AMIGOS TRAVELS,A/C Sleeper (2+1),11:59 PM,06:19 AM,06h 20m,3.6,1649,6,A/C Sleeper
Vijayawada,Hyderabad,Nani Svkdt Travels,A/C Sleeper (2+1),11:00 PM,05:26 AM,06h 26m,3.4,1599,1,A/C Sleeper
Vijayawada,Hyderabad,SVM Tours And Travels,Non A/C Seater / Sleeper (2+1),11:59 PM,06:40 AM,06h 41m,3.2,1880,1,A/C Seater/Sleeper
Vijayawada,Hyderabad,AMIGOS TRAVELS,A/C Sleeper (2+1),11:59 PM,06:00 AM,06h 01m,3.6,1749,4,A/C Sleeper
Vijayawada,Hyderabad,Sri Atluri Travels,A/C Seater / Sleeper (2+1),10:55 PM,06:00 AM,07h 05m,3.8,1890,3,A/C Seater/Sleeper
Vijayawada,Hyderabad,Srivastav Travels,Bharat Benz A/C Sleeper (2+1),11:00 PM,06:40 AM,07h 40m,3.5,1709,9,A/C Sleeper
Vijayawada,Hyderabad,AVR Travels,A/C Seater / Sleeper (2+1),10:55 PM,05:45 AM,06h 50m,2.8,1599,12,A/C Seater/Sleeper
